#alt_asm_name	prim_asm_name	alt_scaf_name	parent_type	parent_name	ori	alt_scaf_start	alt_scaf_stop	parent_start	parent_stop	alt_start_tail	alt_stop_tail
Haplotigs	Primary_Assembly	000005F_001	SCAFFOLD	Phyram_PR-102_s0005	+	9	89001	154619	243642	8	8
Haplotigs	Primary_Assembly	000005F_002	SCAFFOLD	Phyram_PR-102_s0005	+	0	224279	243650	487159	0	12
Haplotigs	Primary_Assembly	000005F_003	SCAFFOLD	Phyram_PR-102_s0005	+	7	677112	487179	1214950	6	8
Haplotigs	Primary_Assembly	000005F_004	SCAFFOLD	Phyram_PR-102_s0005	+	6	306279	1274608	1596417	5	6
Haplotigs	Primary_Assembly	000005F_005	SCAFFOLD	Phyram_PR-102_s0005	+	5	410016	1617111	2014338	4	11
Haplotigs	Primary_Assembly	000006F_001	SCAFFOLD	Phyram_PR-102_s0010	+	5	111608	22301	109324	4	6
Haplotigs	Primary_Assembly	000006F_002	SCAFFOLD	Phyram_PR-102_s0010	+	8	69954	224631	294615	7	8
Haplotigs	Primary_Assembly	000006F_003	SCAFFOLD	Phyram_PR-102_s0010	+	6	107752	421611	521857	5	19
Haplotigs	Primary_Assembly	000006F_004	SCAFFOLD	Phyram_PR-102_s0010	+	17	134215	541497	749516	16	0
Haplotigs	Primary_Assembly	000006F_005	SCAFFOLD	Phyram_PR-102_s0010	+	7	58110	822523	880657	6	5
Haplotigs	Primary_Assembly	000006F_006	SCAFFOLD	Phyram_PR-102_s0006	-	1	7435	5517	12954	0	7
Haplotigs	Primary_Assembly	000006F_007	SCAFFOLD	Phyram_PR-102_s0010	+	1556	162933	961131	1125262	1555	6
Haplotigs	Primary_Assembly	000006F_008	SCAFFOLD	Phyram_PR-102_s0010	+	6	53567	1127594	1181073	5	56
Haplotigs	Primary_Assembly	000006F_009	SCAFFOLD	Phyram_PR-102_s0010	+	9	31768	1181140	1243948	8	30
Haplotigs	Primary_Assembly	000006F_010	SCAFFOLD	Phyram_PR-102_s0010	+	2	246652	1340140	1605481	1	19
Haplotigs	Primary_Assembly	000007F_001	SCAFFOLD	Phyram_PR-102_s0011	+	9	35769	69885	116043	8	456
Haplotigs	Primary_Assembly	000007F_002	SCAFFOLD	Phyram_PR-102_s0011	+	1	257299	90252	405113	0	4
Haplotigs	Primary_Assembly	000007F_003	SCAFFOLD	Phyram_PR-102_s0011	+	9	127493	435360	556592	8	20
Haplotigs	Primary_Assembly	000007F_004	SCAFFOLD	Phyram_PR-102_s0011	+	0	50739	587098	637877	0	1
Haplotigs	Primary_Assembly	000007F_005	SCAFFOLD	Phyram_PR-102_s0011	+	2	88881	641144	732198	1	2
Haplotigs	Primary_Assembly	000007F_006	SCAFFOLD	Phyram_PR-102_s0011	+	0	60711	803672	864216	0	2
Haplotigs	Primary_Assembly	000007F_008	SCAFFOLD	Phyram_PR-102_s0011	+	4	336208	888134	1236587	3	10
Haplotigs	Primary_Assembly	000007F_010	SCAFFOLD	Phyram_PR-102_s0011	+	1	41806	1429256	1471075	0	4
Haplotigs	Primary_Assembly	000007F_011	SCAFFOLD	Phyram_PR-102_s0011	+	5	123954	1471084	1577202	4	6
Haplotigs	Primary_Assembly	000007F_012	SCAFFOLD	Phyram_PR-102_s0011	+	8	119758	1585034	1702793	7	8
Haplotigs	Primary_Assembly	000008F_001	SCAFFOLD	Phyram_PR-102_s0017	+	21	52862	1213962	1266841	20	8
Haplotigs	Primary_Assembly	000009F_003	SCAFFOLD	Phyram_PR-102_s0014	+	6	443457	496585	992497	5	9
Haplotigs	Primary_Assembly	000009F_004	SCAFFOLD	Phyram_PR-102_s0014	+	4	514	992511	993026	3	3
Haplotigs	Primary_Assembly	000009F_005	SCAFFOLD	Phyram_PR-102_s0014	+	5	480250	1000966	1562107	4	6
Haplotigs	Primary_Assembly	000010F_001	SCAFFOLD	Phyram_PR-102_s0003	+	2	262928	180919	438035	1	6
Haplotigs	Primary_Assembly	000010F_003	SCAFFOLD	Phyram_PR-102_s0003	+	2	707255	712003	3036616	1	7
Haplotigs	Primary_Assembly	000010F_004	SCAFFOLD	Phyram_PR-102_s0003	+	6	85740	1446381	1516212	5	15
Haplotigs	Primary_Assembly	000011F_001	SCAFFOLD	Phyram_PR-102_s0017	+	0	638571	106164	790427	0	44
Haplotigs	Primary_Assembly	000011F_002	SCAFFOLD	Phyram_PR-102_s0017	+	15	50890	853496	904409	14	335
Haplotigs	Primary_Assembly	000011F_004	SCAFFOLD	Phyram_PR-102_s0017	+	7	14902	1182849	1197720	6	11
Haplotigs	Primary_Assembly	000012F_001	SCAFFOLD	Phyram_PR-102_s0005	+	5	393708	2061614	2456332	4	6
Haplotigs	Primary_Assembly	000012F_003	SCAFFOLD	Phyram_PR-102_s0005	+	142	743736	2486269	3215336	141	12
Haplotigs	Primary_Assembly	000013F_002	SCAFFOLD	Phyram_PR-102_s0016	+	7	1065879	414978	1428967	6	4
Haplotigs	Primary_Assembly	000014F_001	SCAFFOLD	Phyram_PR-102_s0012	+	1	32921	757403	790938	0	2
Haplotigs	Primary_Assembly	000014F_002	SCAFFOLD	Phyram_PR-102_s0012	+	5	79916	876205	955694	4	3
Haplotigs	Primary_Assembly	000014F_003	SCAFFOLD	Phyram_PR-102_s0012	+	36	59719	979090	1039848	35	8
Haplotigs	Primary_Assembly	000014F_004	SCAFFOLD	Phyram_PR-102_s0012	+	6	579381	1039862	1621184	5	3
Haplotigs	Primary_Assembly	000014F_006	SCAFFOLD	Phyram_PR-102_s0012	+	5	177390	1627380	1763867	4	8
Haplotigs	Primary_Assembly	000015F_001	SCAFFOLD	Phyram_PR-102_s0008	+	23	34787	1772831	1807644	22	0
Haplotigs	Primary_Assembly	000015F_002	SCAFFOLD	Phyram_PR-102_s0008	+	7	326071	1807651	2137329	6	5
Haplotigs	Primary_Assembly	000015F_004	SCAFFOLD	Phyram_PR-102_s0008	+	3	318289	2194878	2537875	2	6
Haplotigs	Primary_Assembly	000015F_005	SCAFFOLD	Phyram_PR-102_s0008	+	7	25708	2490515	2516110	6	6
Haplotigs	Primary_Assembly	000015F_006	SCAFFOLD	Phyram_PR-102_s0008	+	4	57348	2516120	2578968	3	19
Haplotigs	Primary_Assembly	000015F_007	SCAFFOLD	Phyram_PR-102_s0008	+	1	86243	2600474	2693129	0	7
Haplotigs	Primary_Assembly	000016F_001	SCAFFOLD	Phyram_PR-102_s0007	+	7	611241	80268	627232	6	9
Haplotigs	Primary_Assembly	000016F_002	SCAFFOLD	Phyram_PR-102_s0007	+	0	296320	538835	909879	0	8
Haplotigs	Primary_Assembly	000017F_001	SCAFFOLD	Phyram_PR-102_s0018	+	9	640439	39	664150	8	9
Haplotigs	Primary_Assembly	000017F_002	SCAFFOLD	Phyram_PR-102_s0018	+	3	109744	774221	889545	2	3
Haplotigs	Primary_Assembly	000017F_003	SCAFFOLD	Phyram_PR-102_s0018	+	7	164406	889555	1030828	6	4
Haplotigs	Primary_Assembly	000018F_003	SCAFFOLD	Phyram_PR-102_s0015	+	2	268578	219766	516407	1	5
Haplotigs	Primary_Assembly	000018F_004	SCAFFOLD	Phyram_PR-102_s0015	+	6	107658	521332	637502	5	4
Haplotigs	Primary_Assembly	000018F_005	SCAFFOLD	Phyram_PR-102_s0015	+	5	269129	637512	985052	4	8
Haplotigs	Primary_Assembly	000018F_007	SCAFFOLD	Phyram_PR-102_s0007	-	946	12485	1062593	1079712	945	2793
Haplotigs	Primary_Assembly	000020F_002	SCAFFOLD	Phyram_PR-102_s0009	+	14	103840	169991	277046	13	7
Haplotigs	Primary_Assembly	000020F_003	SCAFFOLD	Phyram_PR-102_s0009	+	0	299743	277053	558424	0	2
Haplotigs	Primary_Assembly	000020F_004	SCAFFOLD	Phyram_PR-102_s0009	+	5	143914	558431	716834	4	4
Haplotigs	Primary_Assembly	000020F_005	SCAFFOLD	Phyram_PR-102_s0009	+	3	241530	775192	1021557	2	183
Haplotigs	Primary_Assembly	000021F_002	SCAFFOLD	Phyram_PR-102_s0003	-	43	349843	2026791	2389434	42	9
Haplotigs	Primary_Assembly	000022F_001	SCAFFOLD	Phyram_PR-102_s0004	+	7	520523	1067654	1602049	6	0
Haplotigs	Primary_Assembly	000022F_002	SCAFFOLD	Phyram_PR-102_s0004	+	9	197767	1609915	1800829	8	7
Haplotigs	Primary_Assembly	000022F_003	SCAFFOLD	Phyram_PR-102_s0004	+	31878	102987	1805802	1896005	31877	19
Haplotigs	Primary_Assembly	000022F_004	SCAFFOLD	Phyram_PR-102_s0004	+	9	44230	1911716	1956029	8	11
Haplotigs	Primary_Assembly	000023F_002	SCAFFOLD	Phyram_PR-102_s0013	+	61	192229	614959	806785	60	2
Haplotigs	Primary_Assembly	000023F_005	SCAFFOLD	Phyram_PR-102_s0013	+	1	83883	1100178	1184072	0	19
Haplotigs	Primary_Assembly	000024F_002	SCAFFOLD	Phyram_PR-102_s0002	+	8	78236	834489	912798	7	5
Haplotigs	Primary_Assembly	000024F_005	SCAFFOLD	Phyram_PR-102_s0002	+	0	51500	1185035	1236574	0	5
Haplotigs	Primary_Assembly	000024F_006	SCAFFOLD	Phyram_PR-102_s0002	+	8	77114	1325027	1401697	7	4
Haplotigs	Primary_Assembly	000025F_001	SCAFFOLD	Phyram_PR-102_s0008	-	4	736813	419514	1199804	3	3
Haplotigs	Primary_Assembly	000026F_002	SCAFFOLD	Phyram_PR-102_s0020	+	1	204160	752698	949886	0	22
Haplotigs	Primary_Assembly	000027F_003	SCAFFOLD	Phyram_PR-102_s0001	+	2	71515	1164844	1240009	1	4
Haplotigs	Primary_Assembly	000027F_006	SCAFFOLD	Phyram_PR-102_s0001	+	26	77132	1420203	1497428	25	0
Haplotigs	Primary_Assembly	000027F_007	SCAFFOLD	Phyram_PR-102_s0001	+	0	61071	1592091	1658526	0	7
Haplotigs	Primary_Assembly	000028F_001	SCAFFOLD	Phyram_PR-102_s0021	+	4	156639	63148	223872	3	3
Haplotigs	Primary_Assembly	000028F_002	SCAFFOLD	Phyram_PR-102_s0021	+	2	170492	223877	385128	1	0
Haplotigs	Primary_Assembly	000028F_003	SCAFFOLD	Phyram_PR-102_s0021	+	8	78183	385136	465177	7	20
Haplotigs	Primary_Assembly	000028F_004	SCAFFOLD	Phyram_PR-102_s0021	+	11	281068	466093	780945	10	15
Haplotigs	Primary_Assembly	000029F_001	SCAFFOLD	Phyram_PR-102_s0001	-	0	40089	2477578	2517795	0	23
Haplotigs	Primary_Assembly	000029F_002	SCAFFOLD	Phyram_PR-102_s0009	-	5	149429	767487	2319077	4	6
Haplotigs	Primary_Assembly	000029F_003	SCAFFOLD	Phyram_PR-102_s0009	-	3	161841	1640841	1805488	2	9
Haplotigs	Primary_Assembly	000029F_004	SCAFFOLD	Phyram_PR-102_s0009	-	5	78561	1561023	1639605	4	7
Haplotigs	Primary_Assembly	000030F_001	SCAFFOLD	Phyram_PR-102_s0021	+	15	31999	844554	872826	14	1
Haplotigs	Primary_Assembly	000030F_002	SCAFFOLD	Phyram_PR-102_s0019	+	17572	275816	25042	271280	17571	11
Haplotigs	Primary_Assembly	000030F_003	SCAFFOLD	Phyram_PR-102_s0019	+	12555	216731	271041	461461	12554	0
Haplotigs	Primary_Assembly	000030F_004	SCAFFOLD	Phyram_PR-102_s0019	+	8	121854	461469	589209	7	11
Haplotigs	Primary_Assembly	000031F_001	SCAFFOLD	Phyram_PR-102_s0001	+	16	571590	2501927	5334530	15	4
Haplotigs	Primary_Assembly	000032F_001	SCAFFOLD	Phyram_PR-102_s0001	+	5339	54579	1548923	1610604	5338	34
Haplotigs	Primary_Assembly	000032F_003	SCAFFOLD	Phyram_PR-102_s0001	+	606	64919	1624653	1879530	605	30
Haplotigs	Primary_Assembly	000033F_001	SCAFFOLD	Phyram_PR-102_s0002	-	7	153601	5223480	5371983	6	6
Haplotigs	Primary_Assembly	000033F_002	SCAFFOLD	Phyram_PR-102_s0002	-	8	283993	4934536	5219999	7	11
Haplotigs	Primary_Assembly	000033F_003	SCAFFOLD	Phyram_PR-102_s0002	-	21	69222	4816150	4894552	20	7
Haplotigs	Primary_Assembly	000033F_004	SCAFFOLD	Phyram_PR-102_s0002	-	9	98671	4711516	4810626	8	8
Haplotigs	Primary_Assembly	000033F_005	SCAFFOLD	Phyram_PR-102_s0002	-	7	74881	4636662	4711501	6	14
Haplotigs	Primary_Assembly	000034F_001	SCAFFOLD	Phyram_PR-102_s0012	-	5	28491	636242	664746	4	36
Haplotigs	Primary_Assembly	000034F_002	SCAFFOLD	Phyram_PR-102_s0012	-	3	141409	121299	263169	2	4
Haplotigs	Primary_Assembly	000034F_003	SCAFFOLD	Phyram_PR-102_s0012	-	9	120857	8	121286	8	9
Haplotigs	Primary_Assembly	000035F_002	SCAFFOLD	Phyram_PR-102_s0002	+	2	173886	61205	221657	1	3
Haplotigs	Primary_Assembly	000035F_003	SCAFFOLD	Phyram_PR-102_s0002	+	0	134562	221660	356235	0	8
Haplotigs	Primary_Assembly	000035F_004	SCAFFOLD	Phyram_PR-102_s0002	+	2	119049	377447	474228	1	8
Haplotigs	Primary_Assembly	000035F_006	SCAFFOLD	Phyram_PR-102_s0002	+	0	39159	643385	678585	0	9
Haplotigs	Primary_Assembly	000036F_001	SCAFFOLD	Phyram_PR-102_s0004	+	5	52705	2808207	2860989	4	2
Haplotigs	Primary_Assembly	000036F_003	SCAFFOLD	Phyram_PR-102_s0004	+	26	39514	2894886	2934395	25	0
Haplotigs	Primary_Assembly	000036F_004	SCAFFOLD	Phyram_PR-102_s0003	-	248	6096	807647	813499	247	204
Haplotigs	Primary_Assembly	000036F_005	SCAFFOLD	Phyram_PR-102_s0004	+	1126	607915	351342	3570442	1125	0
Haplotigs	Primary_Assembly	000037F_001	SCAFFOLD	Phyram_PR-102_s0020	-	8	19155	14570	33684	7	6
Haplotigs	Primary_Assembly	000037F_002	na	na	na	na	na	na	na	na	na
Haplotigs	Primary_Assembly	000038F_002	SCAFFOLD	Phyram_PR-102_s0001	+	26	248251	314257	566145	25	9
Haplotigs	Primary_Assembly	000042F_001	SCAFFOLD	Phyram_PR-102_s0002	-	7	39637	2126796	2166421	6	9
Haplotigs	Primary_Assembly	000042F_002	SCAFFOLD	Phyram_PR-102_s0002	-	4	66482	1980902	2047145	3	1
Haplotigs	Primary_Assembly	000042F_003	SCAFFOLD	Phyram_PR-102_s0002	-	0	234433	1721373	1978957	0	10
Haplotigs	Primary_Assembly	000042F_004	SCAFFOLD	Phyram_PR-102_s0002	-	528	71368	1637086	1705575	527	0
Haplotigs	Primary_Assembly	000043F_002	SCAFFOLD	Phyram_PR-102_s0002	-	20	160520	5400282	5627670	19	1
Haplotigs	Primary_Assembly	000044F_001	SCAFFOLD	Phyram_PR-102_s0003	+	4	28849	5202829	5236011	3	36
Haplotigs	Primary_Assembly	000044F_003	SCAFFOLD	Phyram_PR-102_s0003	+	4	139628	5336798	5515995	3	7
Haplotigs	Primary_Assembly	000046F_001	SCAFFOLD	Phyram_PR-102_s0023	+	3	101604	157634	252692	2	7
Haplotigs	Primary_Assembly	000046F_002	SCAFFOLD	Phyram_PR-102_s0023	+	0	52312	288570	470927	0	17
Haplotigs	Primary_Assembly	000048F_001	SCAFFOLD	Phyram_PR-102_s0024	+	30720	311624	10745	342379	30719	7
Haplotigs	Primary_Assembly	000048F_002	SCAFFOLD	Phyram_PR-102_s0024	+	3	69129	274974	348586	2	11
Haplotigs	Primary_Assembly	000050F_001	SCAFFOLD	Phyram_PR-102_s0008	+	3	311512	8	2735838	2	2
Haplotigs	Primary_Assembly	000051F_002	SCAFFOLD	Phyram_PR-102_s0005	-	0	171787	3365413	3557301	0	14
Haplotigs	Primary_Assembly	000051F_003	SCAFFOLD	Phyram_PR-102_s0005	-	6	99406	3265993	3365391	5	9
Haplotigs	Primary_Assembly	000053F_001	SCAFFOLD	Phyram_PR-102_s0025	+	5	90032	283363	351286	4	13
Haplotigs	Primary_Assembly	000054F_001	SCAFFOLD	Phyram_PR-102_s0004	-	7	87065	947428	1022857	6	4
Haplotigs	Primary_Assembly	000054F_002	SCAFFOLD	Phyram_PR-102_s0004	-	7	33302	900543	933889	6	0
Haplotigs	Primary_Assembly	000054F_003	SCAFFOLD	Phyram_PR-102_s0004	-	0	251871	673877	900543	0	135
Haplotigs	Primary_Assembly	000054F_004	SCAFFOLD	Phyram_PR-102_s0004	-	1179	8424	667062	674298	1178	5
Haplotigs	Primary_Assembly	000055F_002	SCAFFOLD	Phyram_PR-102_s0022	+	0	44321	221782	266090	0	8
Haplotigs	Primary_Assembly	000059F_003	SCAFFOLD	Phyram_PR-102_s0014	-	9	33634	277911	311678	8	2
Haplotigs	Primary_Assembly	000061F_001	SCAFFOLD	Phyram_PR-102_s0009	+	2	85140	1148808	1220704	1	14
Haplotigs	Primary_Assembly	000061F_002	SCAFFOLD	Phyram_PR-102_s0009	+	37	83420	1291992	1375362	36	0
Haplotigs	Primary_Assembly	000063F_002	SCAFFOLD	Phyram_PR-102_s0010	-	28907	81038	571111	1867092	28906	9
Haplotigs	Primary_Assembly	000064F_001	SCAFFOLD	Phyram_PR-102_s0022	-	4	60243	578033	638073	3	4
Haplotigs	Primary_Assembly	000064F_002	SCAFFOLD	Phyram_PR-102_s0022	-	4	81768	486226	573292	3	39
Haplotigs	Primary_Assembly	000064F_003	SCAFFOLD	Phyram_PR-102_s0022	-	5	31146	453753	486178	4	1
Haplotigs	Primary_Assembly	000066F_001	SCAFFOLD	Phyram_PR-102_s0016	+	21	23650	268374	292125	20	15827
Haplotigs	Primary_Assembly	000067F_002	SCAFFOLD	Phyram_PR-102_s0008	+	16	54529	1546297	1600897	15	9
Haplotigs	Primary_Assembly	000070F_001	SCAFFOLD	Phyram_PR-102_s0003	-	1	30443	593537	623981	0	8
Haplotigs	Primary_Assembly	000071F_001	SCAFFOLD	Phyram_PR-102_s0002	-	14	20488	5638982	5659469	13	1
Haplotigs	Primary_Assembly	000073F_001	SCAFFOLD	Phyram_PR-102_s0001	+	1	31940	1945663	1977558	0	0
Haplotigs	Primary_Assembly	000074F_001	SCAFFOLD	Phyram_PR-102_s0006	-	4	62757	32462	126418	3	6
Haplotigs	Primary_Assembly	000075F_001	SCAFFOLD	Phyram_PR-102_s0019	-	7	179165	672390	851517	6	2
Haplotigs	Primary_Assembly	000077F_001	na	na	na	na	na	na	na	na	na
Haplotigs	Primary_Assembly	000078F_001	SCAFFOLD	Phyram_PR-102_s0001	-	4	67220	5542767	5610081	3	19
Haplotigs	Primary_Assembly	000079F_001	SCAFFOLD	Phyram_PR-102_s0014	-	1	47974	84282	132176	0	0
Haplotigs	Primary_Assembly	000080F_001	SCAFFOLD	Phyram_PR-102_s0002	-	8	120978	4361511	4473522	7	158
Haplotigs	Primary_Assembly	000084F_001	SCAFFOLD	Phyram_PR-102_s0019	+	9	68552	869011	942818	8	5
Haplotigs	Primary_Assembly	000086F_001	SCAFFOLD	Phyram_PR-102_s0007	-	3728	21201	1070359	1086156	3727	3
Haplotigs	Primary_Assembly	000087F_001	SCAFFOLD	Phyram_PR-102_s0018	-	3	78148	785533	880396	2	15
Haplotigs	Primary_Assembly	000088F_001	SCAFFOLD	Phyram_PR-102_s0004	-	276	45647	379832	439424	275	6
Haplotigs	Primary_Assembly	000089F_001	SCAFFOLD	Phyram_PR-102_s0007	-	335	4466	1073587	1077715	334	352
Haplotigs	Primary_Assembly	000092F_001	SCAFFOLD	Phyram_PR-102_s0027	+	40	47544	9065	56653	39	4
Haplotigs	Primary_Assembly	000093F_001	SCAFFOLD	Phyram_PR-102_s0016	+	0	66785	295334	359584	0	3
Haplotigs	Primary_Assembly	000101F_001	SCAFFOLD	Phyram_PR-102_s0004	+	8	157725	3585624	3743822	7	2
Haplotigs	Primary_Assembly	000107F_001	SCAFFOLD	Phyram_PR-102_s0004	+	9	20604	3764318	3784865	8	6
Haplotigs	Primary_Assembly	000107F_002	SCAFFOLD	Phyram_PR-102_s0004	+	26	55567	3817397	3873063	25	0
Haplotigs	Primary_Assembly	000108F_002	SCAFFOLD	Phyram_PR-102_s0004	+	90	45789	2576505	2622173	89	10
Haplotigs	Primary_Assembly	000112F_001	SCAFFOLD	Phyram_PR-102_s0001	-	4627	54772	4109532	4116597	4626	32
Haplotigs	Primary_Assembly	000113F_002	SCAFFOLD	Phyram_PR-102_s0004	+	24	35153	2799545	2834691	23	3
Haplotigs	Primary_Assembly	000115F_001	SCAFFOLD	Phyram_PR-102_s0004	-	9	36633	3860778	3897427	8	6
Haplotigs	Primary_Assembly	000116F_001	SCAFFOLD	Phyram_PR-102_s0005	+	9	28233	115593	143818	8	6
Haplotigs	Primary_Assembly	000116F_002	SCAFFOLD	Phyram_PR-102_s0005	+	9	39939	145450	185382	8	9
Haplotigs	Primary_Assembly	000121F_001	SCAFFOLD	Phyram_PR-102_s0028	+	6	27556	25581	53103	5	19
Haplotigs	Primary_Assembly	000121F_002	SCAFFOLD	Phyram_PR-102_s0028	+	263	42882	59878	102571	262	8
Haplotigs	Primary_Assembly	000144F_001	SCAFFOLD	Phyram_PR-102_s0022	+	207	26055	313294	341229	206	2966
Haplotigs	Primary_Assembly	000150F_001	SCAFFOLD	Phyram_PR-102_s0016	+	7	22593	86935	109518	6	2
Haplotigs	Primary_Assembly	PR102_c013_0-40321	SCAFFOLD	Phyram_PR-102_s0010	+	5886	40304	576720	611102	5885	17
Haplotigs	Primary_Assembly	PR102_c019_0-34109	SCAFFOLD	Phyram_PR-102_s0003	-	2	34109	2505818	2539896	1	0
Haplotigs	Primary_Assembly	PR102_c019_1023526-1067424	SCAFFOLD	Phyram_PR-102_s0003	-	9	43873	1472318	1516212	8	26
Haplotigs	Primary_Assembly	PR102_c025_0-105081	SCAFFOLD	Phyram_PR-102_s0016	+	20	105081	1361261	1482846	19	0
Haplotigs	Primary_Assembly	PR102_c028_852701-904094	SCAFFOLD	Phyram_PR-102_s0001	+	1	51378	3032124	3083437	0	16
Haplotigs	Primary_Assembly	PR102_c030_0-116913	SCAFFOLD	Phyram_PR-102_s0021	+	11	116913	747120	840490	10	0
Haplotigs	Primary_Assembly	PR102_c031	SCAFFOLD	Phyram_PR-102_s0001	+	4	852612	1190193	2411165	3	8
Haplotigs	Primary_Assembly	PR102_c034_0-117395	SCAFFOLD	Phyram_PR-102_s0012	-	3	117395	645637	788994	2	0
Haplotigs	Primary_Assembly	PR102_c035_675910-727837	SCAFFOLD	Phyram_PR-102_s0002	+	1	51924	676166	727756	0	4
Haplotigs	Primary_Assembly	PR102_c036	SCAFFOLD	Phyram_PR-102_s0020	-	80508	710751	7	833925	80507	14249
